v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
1723,-73.858070400934,40.9394142494805,substation,345000;138000,60,Dunwoodie Substation,Consolidated Edison,,SRID=4326;POINT(-73.858070400934 40.9394142494805)
6312,-82.531930328513,38.3518950466496,sub_station,,,,,,SRID=4326;POINT(-82.531930328513 38.3518950466496)
4325,-81.0328719384291,44.1677198011827,sub_station,,,,,,SRID=4326;POINT(-81.0328719384291 44.1677198011827)
420,-89.9375856750661,30.0096790405467,substation,230000,,Michoud Station,Entergy New Orleans,,SRID=4326;POINT(-89.9375856750661 30.0096790405467)
27299,-100.618063199736,21.2450271136173,joint,230000,60,,,,SRID=4326;POINT(-100.618063199736 21.2450271136173)
608,-92.3987633870829,34.7533080066378,station,,,,,,SRID=4326;POINT(-92.3987633870829 34.7533080066378)
24099,-91.1517301929046,30.4225069779962,joint,230000;69000,60,,Entergy,1482,SRID=4326;POINT(-91.1517301929046 30.4225069779962)
992,-120.127511750617,47.3498929670495,sub_station,,,Colockum Tap,,,SRID=4326;POINT(-120.127511750617 47.3498929670495)
19978,-76.1129982685114,44.7159147829815,joint,,,,,,SRID=4326;POINT(-76.1129982685114 44.7159147829815)
14214,-81.8349148623344,27.9085550867931,substation,230000;69000,60,North Bartow Substation,Progress Energy,,SRID=4326;POINT(-81.8349148623344 27.9085550867931)
1260,-94.8631390531854,38.9428244600656,sub_station,,,,,,SRID=4326;POINT(-94.8631390531854 38.9428244600656)
1860,-78.4504243659519,40.3137780837466,sub_station,,,,,,SRID=4326;POINT(-78.4504243659519 40.3137780837466)
18154,-85.2791358669566,34.8499929898487,joint,,,,,,SRID=4326;POINT(-85.2791358669566 34.8499929898487)
3389,-124.010772992787,44.0074672090325,station,,,Wendson Substation,,,SRID=4326;POINT(-124.010772992787 44.0074672090325)
